File,Energy
Si3Mo3P4-1888_POSCAR, -71.945
Si5Mo2P5-5510_POSCAR, -74.782
Si3B3Mo4-4726_POSCAR, -81.003
Si4B8-2668_POSCAR, -69.771
Si6B2P12-2149_POSCAR,  -109.3
Si2B2Mo6-6001_POSCAR, -92.434
Si4B3Mo5-1245_POSCAR, -98.005
Si8P8-2733_POSCAR, -84.703
Si1B2Mo3P4-7291_POSCAR, -73.738
Si1B2Mo3-3581_POSCAR, -52.356
Si2B3P3-3201_POSCAR, -48.148
B2Mo4-6756_POSCAR, -57.334
Si10B4P6-6182_POSCAR, -110.64
Mo4P6-5751_POSCAR, -79.992
Si2Mo2P4-3010_POSCAR, -54.594
Si1B1P2-4012_POSCAR, -22.535
Si9B3Mo8-6153_POSCAR, -159.65
Si4B4P4-114_POSCAR, -70.471
B2Mo4P4-1855_POSCAR, -81.368
Mo2P10-3629_POSCAR, -75.419
Si3B1P3-1053_POSCAR, -38.173
Mo3P7-2026_POSCAR, -71.151
Si2B1Mo3P1-4108_POSCAR, -57.401
Si2Mo2P3-6102_POSCAR, -49.784
Si2Mo3P3-2208_POSCAR,  -61.11
Si4B8-155_POSCAR, -71.873
Si4B4Mo6-5074_POSCAR, -115.22
Si6P6-5466_POSCAR, -63.271
Si6P6-5859_POSCAR, -63.856
Si3Mo1P6-2055_POSCAR, -59.933
Si4P2-5613_POSCAR, -32.073
Si6P4-5617_POSCAR, -52.957
Si3Mo3P6-4790_POSCAR, -81.838
Si7B8-4957_POSCAR, -86.019
Si2B3P7-2495_POSCAR, -66.806
Si1B2Mo5P2-6784_POSCAR, -86.102
Si2P5-3114_POSCAR, -36.647
B3Mo6P2-6054_POSCAR, -99.329
B8-591_POSCAR, -50.065
Si8Mo5-5854_POSCAR, -100.66
Si1B2Mo4P3-7054_POSCAR,  -79.64
Si4P8-4507_POSCAR, -62.712
Si1B2Mo3P2-3924_POSCAR, -62.607
Si2B4Mo6-3174_POSCAR, -104.78
Si8Mo4P8-7072_POSCAR, -131.13
Si2Mo2-2228_POSCAR, -33.346
Si6B2P4-3764_POSCAR, -66.804
Si6B6-5925_POSCAR, -67.456
Si4B8-157_POSCAR, -71.226
Si7Mo4-3600_POSCAR,  -82.71
B4Mo11P3-1777_POSCAR, -164.77
Si2B3Mo8P3-1353_POSCAR, -136.25
Si5B2P3-7287_POSCAR, -55.954
Mo2P10-7204_POSCAR, -75.549
Si3B1Mo1P4-822_POSCAR, -54.524
Si1Mo2P1-1852_POSCAR, -33.498
Si6B4Mo2-4736_POSCAR, -77.307
Si2B10-5759_POSCAR, -72.196
Si3Mo4P7-3129_POSCAR, -99.723
Mo4P5-6832_POSCAR, -73.139
Si4B3P4-5995_POSCAR, -62.812
Si3Mo3-1028_POSCAR, -50.145
Si2B5Mo3-5924_POSCAR, -78.328
Si3B3P2-2381_POSCAR, -46.906
Mo2P11-2127_POSCAR, -80.911
Si6P8-4251_POSCAR, -72.261
Si3B1P4-2674_POSCAR, -43.876
Si8-276_POSCAR, -40.145
Si3B7-4418_POSCAR, -59.025
Si6Mo5-5724_POSCAR, -88.925
Si3Mo3P3-3452_POSCAR, -66.394
Si2Mo6-509_POSCAR,  -75.91
Si8P4-457_POSCAR,  -63.67
Si3P2-4391_POSCAR, -26.628
Si5Mo2P5-4425_POSCAR, -75.561
Si2Mo2P8-914_POSCAR, -75.929
Si5P11-7184_POSCAR, -84.796
Si4B3P4-6610_POSCAR, -62.461
Si3Mo2P5-2893_POSCAR, -64.997
Si4P6-3854_POSCAR, -53.708
Mo4P2-337_POSCAR, -54.136
Si7B2-1488_POSCAR, -48.392
B3Mo1-5381_POSCAR, -30.337
Si3P7-2737_POSCAR,  -52.94
Si5Mo1P6-1338_POSCAR, -69.101
Mo6P6-1499_POSCAR, -101.68
Si8B3P3-1026_POSCAR,  -76.98
B2Mo6P2-3966_POSCAR, -92.028
Mo5P7-6018_POSCAR, -95.183
Si6B2P8-3585_POSCAR, -87.485
Si2B4-3459_POSCAR, -34.993
Si5P9-2680_POSCAR, -74.311
Si4P12-1119_POSCAR, -83.346
Mo2P10-916_POSCAR, -76.205
Si2Mo1P4-6206_POSCAR, -43.823
Si2B2P2-332_POSCAR, -34.879
Si3B3P5-5001_POSCAR, -64.289
Si7B3Mo6-6746_POSCAR, -124.08
Si4B2P5-6980_POSCAR, -61.939
Si1P7-3617_POSCAR, -42.183
Si6Mo5-5150_POSCAR, -87.525
Si3B2Mo4P3-1390_POSCAR, -90.105
Si2Mo2P2-1925_POSCAR, -44.415
Si1Mo2P9-5362_POSCAR, -75.711
Si1P3-4553_POSCAR, -21.238
Si2P4-4981_POSCAR, -32.664
B4Mo4P2-3321_POSCAR, -81.921
Si10B2P3-5341_POSCAR, -81.293
Si1B4Mo4-6972_POSCAR, -77.898
Si5B3P6-4211_POSCAR, -78.265
Si2Mo4-2_POSCAR, -55.101
Si6B3-6503_POSCAR, -49.077
Si4P3-3259_POSCAR, -37.325
